,x,f(x),f_ev,dfdx_ev,dfdx[x],f(x+dx)
44,1.44,1.2980618400000001,-1.3672499999999985,1.2843893400000002,-1.388767999999999,1.28428175
45,1.45,1.28428175,-1.3450720000000018,1.27083103,-1.3672499999999985,1.27072014
46,1.46,1.27072014,-1.3222459999999998,1.2574976800000002,-1.3450720000000018,1.2573835500000001
47,1.47,1.2573835500000001,-1.2987840000000048,1.24439571,-1.3222459999999998,1.2442784
48,1.48,1.2442784,-1.2746980000000043,1.23153142,-1.2987840000000048,1.2314109899999999
49,1.49,1.2314109899999999,-1.25,1.21891099,-1.2746980000000043,1.2187875
50,1.5,1.2187875,-1.224701999999997,1.20654048,-1.25,1.20641399
51,1.51,1.20641399,-1.1988159999999972,1.19442583,-1.224701999999997,1.1942964
52,1.52,1.1942964,-1.1723539999999986,1.18257286,-1.1988159999999972,1.1824405500000001
53,1.53,1.1824405500000001,-1.1453280000000028,1.1709872700000001,-1.1723539999999986,1.17085214
54,1.54,1.17085214,-1.1177499999999938,1.1596746400000002,-1.1453280000000028,1.15953675
55,1.55,1.15953675,-1.0896320000000017,1.14864043,-1.1177499999999938,1.14849984
56,1.56,1.14849984,-1.0609860000000033,1.13788998,-1.0896320000000017,1.1377467499999998
57,1.57,1.1377467499999998,-1.0318239999999967,1.1274285099999999,-1.0609860000000033,1.1272826999999999
58,1.58,1.1272826999999999,-1.0021579999999979,1.1172611199999998,-1.0318239999999967,1.11711279
59,1.5899999999999999,1.11711279,-0.9719999999999978,1.10739279,-1.0021580000000014,1.107242
60,1.6,1.107242,-0.9413620000000016,1.09782838,-0.9719999999999942,1.0976751900000001
61,1.6099999999999999,1.0976751900000001,-0.910256000000004,1.08857263,-0.9413620000000016,1.0884171
62,1.62,1.0884171,-0.8786939999999994,1.07963016,-0.9102560000000004,1.07947235
63,1.63,1.07947235,-0.8466879999999968,1.07100547,-0.8786939999999959,1.07084544
64,1.6400000000000001,1.07084544,-0.8142499999999941,1.06270294,-0.8466880000000003,1.0625407500000001
65,1.65,1.0625407500000001,-0.7813919999999968,1.0547268300000001,-0.8142500000000048,1.05456254
